"origName","decimalLongitude","decimalLatitude","year","database","acceptName","name","longitude","latitude","ID"
"Paspalum dilatatum",24.6574993133545,-34.1725006103516,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.6574993133545,-34.1725006103516,178
"Paspalum dilatatum",24.6575,-34.1725,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.6575,-34.1725,179
"Paspalum dilatatum",24.66472,-32.5225,1965,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.66472,-32.5225,180
"Paspalum dilatatum",24.6647205352783,-32.5224990844727,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.6647205352783,-32.5224990844727,181
"Paspalum dilatatum",24.72,-34.1,2013,"SAPIA","Paspalum dilatatum","Paspalum dilatatum",24.72,-34.1,182
"Paspalum dilatatum",24.7667,-30.0308,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.7667,-30.0308,183
"Paspalum dilatatum",24.7816696166992,-32.6088905334473,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.7816696166992,-32.6088905334473,184
"Paspalum dilatatum",24.78167,-32.6088,1964,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.78167,-32.6088,185
"Paspalum dilatatum",24.8097190856934,-34.086109161377,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.8097190856934,-34.086109161377,186
"Paspalum dilatatum",24.80972,-34.0861,1964,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.80972,-34.0861,187
"Paspalum dilatatum",24.875,-34.0497207641602,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.875,-34.0497207641602,188
"Paspalum dilatatum",24.875,-34.0497,1964,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.875,-34.0497,189
"Paspalum dilatatum",24.9238891601563,-34.0044403076172,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.9238891601563,-34.0044403076172,190
"Paspalum dilatatum",24.92389,-34.0044,1964,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.92389,-34.0044,191
"Paspalum dilatatum",24.95306,-30.2044,1969,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.95306,-30.2044,192
"Paspalum dilatatum",24.9530601501465,-30.204439163208,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.9530601501465,-30.204439163208,193
